TotalFactura,Diferenciada,TotalFactura_sqrt,Log_TotalFactura,TotalFactura_yeojohnson,campaña_marketing,cierre_hotel,Predicción_ARIMA,Predicción_SARIMA_cuadrado,Predicción_SARIMA_sarimax_train,Predicción_SARIMA_sarimax,Fecha
4472.4,2862.3999999999996,66.87600466535064,8.40590402487617,-0.015364550964002853,1,1,3886.183147911759,40.11185346169407,40.1084443160676,40.12459809082423,2022-04-17
2190.0,-2282.3999999999996,46.79743582719036,7.692113339595466,-0.388538585135703,1,1,4072.5669559330904,66.84985171640893,66.84293892396113,66.85061760446153,2022-04-24
3830.0,1640.0,61.886993787063204,8.25088114470065,-0.10283198940445173,1,1,3474.025419443111,46.81703031404398,46.82219786798794,46.80714817391458,2022-05-01
3540.0,-290.0,59.49789912257407,8.172164452111904,-0.1458209694841915,1,1,3587.2029072531254,61.872267970344254,61.8683843718066,61.876268794044556,2022-05-08
4820.0,1280.0,69.42621983083913,8.480736654405622,0.028228385934309572,1,1,3572.1954018621705,59.50021926890608,59.50082736299628,59.49623689326958,2022-05-15
790.0,-4030.0,28.106938645110393,6.673297967767654,-0.8077167197563683,1,0,3968.9169004607475,69.4165205063989,45.10947360490818,44.345810376130345,2022-05-22
0.0,-790.0,0.0,0.0,-1.8861829286740202,1,0,2958.226717152701,28.14730485650266,28.127941733050072,28.118654652174623,2022-05-29
0.0,0.0,0.0,0.0,-1.8861829286740202,1,0,2017.7020372821728,0.02750451606543691,0.03474620903166757,0.030879235389976167,2022-06-05
0.0,0.0,0.0,0.0,-1.8861829286740202,1,0,1376.2034377716327,2.6876406385994007e-05,4.292169876961668e-05,0.011294256117312895,2022-06-12
0.0,0.0,0.0,0.0,-1.8861829286740202,1,0,938.6598837873944,2.6262640597151395e-08,5.302081199482058e-08,0.0041309384650433005,2022-06-19
0.0,0.0,0.0,0.0,-1.8861829286740202,1,0,640.2268485433101,2.566289113319029e-11,6.549617452990862e-11,0.0015109142580836067,2022-06-26
140.0,140.0,11.832159566199232,4.948759890378168,-1.2950020457354035,1,0,436.6761884446929,2.5076837908886364e-14,8.081416311671741e-14,0.0005526254904848661,2022-07-03
0.0,-140.0,0.0,0.0,-1.8861829286740202,1,0,342.35238160421136,11.82059761294877,11.81754339934689,11.821166416876856,2022-07-10
0.0,0.0,0.0,0.0,-1.8861829286740202,1,1,233.5065049457195,0.011550655332930737,24.31908358400747,25.077582039719285,2022-07-17
670.0,670.0,25.88435821108957,6.508769136971682,-0.8649390087200896,1,1,159.26656514747597,1.1286877617254316e-05,0.03004115870574924,0.02634505665327595,2022-07-24
900.0,230.0,30.0,6.803505257608338,-0.7605355915900104,1,1,321.64670714863894,25.859064974687367,25.852420591437237,25.869502973008554,2022-07-31
4839.2,3939.2,69.56435869035235,8.484711321170984,0.030569291189873393,1,1,505.52558286433816,29.995953629858693,29.994876530160894,29.99067250112543,2022-08-07
0.0,-4839.2,0.0,0.0,-1.8861829286740202,1,1,1883.353269290833,69.52569389319972,69.51547884299411,69.52351235878798,2022-08-14
